Date,Order ID,Customer ID,Region,Product,Category,Units Sold,Unit Price
2025-05-12,ORD10000,CUST2203,South,Microwave,Home Appliances,5,150
2025-05-07,ORD10001,CUST9564,North,Tablet,Electronics,6,499
2025-05-29,ORD10002,CUST1272,North,Jacket,Clothing,2,75
2025-05-08,ORD10003,CUST2761,South,Smartphone,Electronics,9,699
2025-05-21,ORD10004,CUST5135,South,Jacket,Clothing,1,75
2025-05-29,ORD10005,CUST6727,South,Action Figure,Toys,3,30
2025-05-22,ORD10006,CUST2758,South,Laptop,Electronics,5,999
2025-05-06,ORD10007,CUST8251,East,Board Game,Toys,4,40
2025-05-27,ORD10008,CUST5557,West,T-shirt,Clothing,4,25
2025-05-13,ORD10009,CUST4303,South,Jacket,Clothing,6,75
2025-05-01,ORD10010,CUST3282,East,Blender,Home Appliances,2,89
2025-05-28,ORD10011,CUST7488,North,Action Figure,Toys,6,30
2025-05-18,ORD10012,CUST4548,South,Blender,Home Appliances,8,89
2025-05-21,ORD10013,CUST6679,South,Smartphone,Electronics,2,699
2025-05-09,ORD10014,CUST5487,South,Board Game,Toys,1,40
2025-05-20,ORD10015,CUST4698,East,Microwave,Home Appliances,6,150
2025-05-13,ORD10016,CUST7713,East,T-shirt,Clothing,9,25
2025-05-14,ORD10017,CUST2833,North,Puzzle,Toys,8,20
2025-05-06,ORD10018,CUST1556,East,Laptop,Electronics,3,999
2025-05-29,ORD10019,CUST4103,West,Jacket,Clothing,6,75
2025-05-23,ORD10020,CUST6922,North,T-shirt,Clothing,2,25
2025-05-06,ORD10021,CUST4492,West,Tablet,Electronics,8,499
2025-05-02,ORD10022,CUST7636,North,Smartphone,Electronics,10,699
2025-05-10,ORD10023,CUST4838,East,Microwave,Home Appliances,9,150
2025-05-14,ORD10024,CUST4718,North,Puzzle,Toys,2,20
2025-05-11,ORD10025,CUST4299,North,Tablet,Electronics,10,499
2025-05-07,ORD10026,CUST5624,East,Laptop,Electronics,5,999
2025-05-23,ORD10027,CUST6672,East,Board Game,Toys,7,40
2025-05-05,ORD10028,CUST5100,East,T-shirt,Clothing,9,25
2025-05-10,ORD10029,CUST2351,West,T-shirt,Clothing,9,25
2025-05-14,ORD10030,CUST6172,West,Tablet,Electronics,6,499
2025-05-25,ORD10031,CUST8672,East,Action Figure,Toys,7,30
2025-05-09,ORD10032,CUST7744,North,Smartphone,Electronics,6,699
2025-05-25,ORD10033,CUST9141,North,Jeans,Clothing,3,50
2025-05-09,ORD10034,CUST4136,South,Action Figure,Toys,6,30
2025-05-27,ORD10035,CUST6983,North,Jeans,Clothing,10,50
2025-05-08,ORD10036,CUST1751,North,Board Game,Toys,6,40
2025-05-28,ORD10037,CUST3673,South,T-shirt,Clothing,4,25
2025-05-13,ORD10038,CUST8714,East,Jeans,Clothing,3,50
2025-05-27,ORD10039,CUST3201,East,Action Figure,Toys,2,30
2025-05-08,ORD10040,CUST3294,South,Jacket,Clothing,5,75
2025-05-20,ORD10041,CUST9548,East,Puzzle,Toys,4,20
2025-05-12,ORD10042,CUST7320,West,Blender,Home Appliances,6,89
2025-05-28,ORD10043,CUST9172,South,Tablet,Electronics,9,499
2025-05-21,ORD10044,CUST1054,East,Board Game,Toys,5,40
2025-05-31,ORD10045,CUST4270,West,Board Game,Toys,6,40
2025-05-24,ORD10046,CUST5420,West,T-shirt,Clothing,8,25
2025-05-27,ORD10047,CUST7708,West,Air Conditioner,Home Appliances,1,399
2025-05-26,ORD10048,CUST9399,West,Blender,Home Appliances,7,89
2025-05-30,ORD10049,CUST7864,South,Jacket,Clothing,7,75
2025-05-13,ORD10050,CUST5518,North,Jeans,Clothing,2,50
2025-05-20,ORD10051,CUST7534,East,Smartphone,Electronics,6,699
2025-05-02,ORD10052,CUST9471,West,Air Conditioner,Home Appliances,5,399
2025-05-04,ORD10053,CUST6871,West,Puzzle,Toys,4,20
2025-05-21,ORD10054,CUST3514,North,Board Game,Toys,8,40
2025-05-11,ORD10055,CUST7854,West,Jacket,Clothing,8,75
2025-05-04,ORD10056,CUST7104,East,Board Game,Toys,9,40
2025-05-14,ORD10057,CUST9647,West,Board Game,Toys,3,40
2025-05-20,ORD10058,CUST6376,West,Smartphone,Electronics,2,699
2025-05-09,ORD10059,CUST9928,East,Smartphone,Electronics,6,699
2025-05-18,ORD10060,CUST6934,North,Puzzle,Toys,10,20
2025-05-17,ORD10061,CUST4089,East,Puzzle,Toys,2,20
2025-05-10,ORD10062,CUST3381,North,Jeans,Clothing,9,50
2025-05-25,ORD10063,CUST2763,East,T-shirt,Clothing,7,25
2025-05-21,ORD10064,CUST8026,South,Microwave,Home Appliances,9,150
2025-05-28,ORD10065,CUST5775,North,Blender,Home Appliances,1,89
2025-05-07,ORD10066,CUST3389,South,Laptop,Electronics,1,999
2025-05-07,ORD10067,CUST3688,North,T-shirt,Clothing,3,25
2025-05-23,ORD10068,CUST3878,West,Laptop,Electronics,7,999
2025-05-05,ORD10069,CUST4025,South,Jeans,Clothing,4,50
2025-05-16,ORD10070,CUST2267,South,Smartphone,Electronics,8,699
2025-05-14,ORD10071,CUST7543,South,Air Conditioner,Home Appliances,9,399
2025-05-28,ORD10072,CUST1988,North,Jeans,Clothing,3,50
2025-05-03,ORD10073,CUST1341,South,Laptop,Electronics,9,999
2025-05-01,ORD10074,CUST8819,North,Jacket,Clothing,5,75
2025-05-25,ORD10075,CUST4545,South,Puzzle,Toys,5,20
2025-05-17,ORD10076,CUST9248,West,Tablet,Electronics,5,499
2025-05-25,ORD10077,CUST2363,West,Smartphone,Electronics,9,699
2025-05-09,ORD10078,CUST6786,West,Tablet,Electronics,4,499
2025-05-01,ORD10079,CUST1190,East,Board Game,Toys,2,40
2025-05-16,ORD10080,CUST9644,East,Air Conditioner,Home Appliances,6,399
2025-05-30,ORD10081,CUST6946,West,Board Game,Toys,9,40
2025-05-02,ORD10082,CUST3179,East,Board Game,Toys,4,40
2025-05-21,ORD10083,CUST5642,West,Microwave,Home Appliances,4,150
2025-05-08,ORD10084,CUST4703,East,Air Conditioner,Home Appliances,2,399
2025-05-03,ORD10085,CUST7304,North,Puzzle,Toys,7,20
2025-05-03,ORD10086,CUST7549,North,Microwave,Home Appliances,4,150
2025-05-19,ORD10087,CUST9725,West,Air Conditioner,Home Appliances,1,399
2025-05-10,ORD10088,CUST3579,North,Microwave,Home Appliances,1,150
2025-05-19,ORD10089,CUST9916,South,Puzzle,Toys,3,20
2025-05-05,ORD10090,CUST9860,South,T-shirt,Clothing,2,25
2025-05-21,ORD10091,CUST1376,East,Blender,Home Appliances,5,89
2025-05-26,ORD10092,CUST1503,West,T-shirt,Clothing,4,25
2025-05-08,ORD10093,CUST1022,East,Jacket,Clothing,1,75
2025-05-16,ORD10094,CUST4639,North,T-shirt,Clothing,7,25
2025-05-25,ORD10095,CUST7175,South,Laptop,Electronics,6,999
2025-05-10,ORD10096,CUST5484,South,Action Figure,Toys,1,30
2025-05-08,ORD10097,CUST4039,West,Laptop,Electronics,8,999
2025-05-27,ORD10098,CUST9643,West,Smartphone,Electronics,10,699
2025-05-03,ORD10099,CUST5057,East,Action Figure,Toys,7,30
2025-05-17,ORD10100,CUST3813,South,Air Conditioner,Home Appliances,9,399
2025-05-27,ORD10101,CUST3389,North,Blender,Home Appliances,2,89
2025-05-12,ORD10102,CUST6268,South,Action Figure,Toys,4,30
2025-05-01,ORD10103,CUST6332,North,Tablet,Electronics,10,499
2025-05-29,ORD10104,CUST1988,East,Puzzle,Toys,7,20
2025-05-01,ORD10105,CUST5087,West,Board Game,Toys,8,40
2025-05-09,ORD10106,CUST9202,East,Jeans,Clothing,9,50
2025-05-15,ORD10107,CUST1140,East,Air Conditioner,Home Appliances,9,399
2025-05-04,ORD10108,CUST6996,West,T-shirt,Clothing,4,25
2025-05-29,ORD10109,CUST9407,West,Jeans,Clothing,3,50
2025-05-11,ORD10110,CUST1622,West,Blender,Home Appliances,4,89
2025-05-05,ORD10111,CUST6623,East,Jeans,Clothing,1,50
2025-05-19,ORD10112,CUST1871,West,T-shirt,Clothing,7,25
2025-05-02,ORD10113,CUST3168,West,Jacket,Clothing,5,75
2025-05-08,ORD10114,CUST6089,South,Board Game,Toys,4,40
2025-05-21,ORD10115,CUST2142,South,Board Game,Toys,4,40
2025-05-25,ORD10116,CUST1454,East,Board Game,Toys,4,40
2025-05-27,ORD10117,CUST5570,West,Tablet,Electronics,2,499
2025-05-05,ORD10118,CUST3726,East,Laptop,Electronics,4,999
2025-05-16,ORD10119,CUST2760,North,Smartphone,Electronics,7,699
2025-05-26,ORD10120,CUST4159,West,Tablet,Electronics,5,499
2025-05-28,ORD10121,CUST9255,East,Tablet,Electronics,1,499
2025-05-03,ORD10122,CUST6611,West,Board Game,Toys,7,40
2025-05-07,ORD10123,CUST4270,North,Laptop,Electronics,9,999
2025-05-27,ORD10124,CUST6153,South,Air Conditioner,Home Appliances,7,399
2025-05-04,ORD10125,CUST9711,West,Smartphone,Electronics,10,699
2025-05-09,ORD10126,CUST7915,South,Laptop,Electronics,4,999
2025-05-03,ORD10127,CUST7185,East,Board Game,Toys,10,40
2025-05-25,ORD10128,CUST2607,South,Laptop,Electronics,1,999
2025-05-12,ORD10129,CUST9928,East,Laptop,Electronics,6,999
2025-05-31,ORD10130,CUST7034,North,Action Figure,Toys,10,30
2025-05-06,ORD10131,CUST8090,South,Tablet,Electronics,8,499
2025-05-13,ORD10132,CUST4296,South,Microwave,Home Appliances,10,150
2025-05-05,ORD10133,CUST2522,South,T-shirt,Clothing,5,25
2025-05-26,ORD10134,CUST4998,North,Board Game,Toys,5,40
2025-05-20,ORD10135,CUST2048,East,Laptop,Electronics,2,999
2025-05-08,ORD10136,CUST4407,South,Jacket,Clothing,6,75
2025-05-19,ORD10137,CUST9181,East,Jacket,Clothing,4,75
2025-05-28,ORD10138,CUST3147,West,T-shirt,Clothing,6,25
2025-05-31,ORD10139,CUST2436,West,Jacket,Clothing,10,75
2025-05-06,ORD10140,CUST3026,West,Microwave,Home Appliances,10,150
2025-05-12,ORD10141,CUST6003,South,Tablet,Electronics,4,499
2025-05-14,ORD10142,CUST6890,East,T-shirt,Clothing,6,25
2025-05-06,ORD10143,CUST8480,East,Jeans,Clothing,2,50
2025-05-05,ORD10144,CUST6526,West,Blender,Home Appliances,8,89
2025-05-27,ORD10145,CUST2973,South,T-shirt,Clothing,5,25
2025-05-30,ORD10146,CUST4291,East,Blender,Home Appliances,6,89
2025-05-02,ORD10147,CUST8825,West,Jacket,Clothing,7,75
2025-05-28,ORD10148,CUST3291,North,Action Figure,Toys,1,30
2025-05-08,ORD10149,CUST1421,West,Air Conditioner,Home Appliances,6,399
2025-05-16,ORD10150,CUST1425,North,Tablet,Electronics,3,499
2025-05-04,ORD10151,CUST5158,West,Air Conditioner,Home Appliances,7,399
2025-05-26,ORD10152,CUST7895,East,Tablet,Electronics,5,499
2025-05-02,ORD10153,CUST7359,East,Puzzle,Toys,10,20
2025-05-31,ORD10154,CUST8819,North,Puzzle,Toys,10,20
2025-05-01,ORD10155,CUST1461,East,Action Figure,Toys,10,30
2025-05-06,ORD10156,CUST6105,East,Tablet,Electronics,4,499
2025-05-19,ORD10157,CUST8545,East,Laptop,Electronics,1,999
2025-05-13,ORD10158,CUST6139,South,Action Figure,Toys,5,30
2025-05-06,ORD10159,CUST5795,East,Tablet,Electronics,10,499
2025-05-14,ORD10160,CUST1060,East,Board Game,Toys,2,40
2025-05-10,ORD10161,CUST2086,North,Tablet,Electronics,2,499
2025-05-23,ORD10162,CUST7908,North,Tablet,Electronics,7,499
2025-05-21,ORD10163,CUST3654,South,Action Figure,Toys,5,30
2025-05-03,ORD10164,CUST9227,East,Microwave,Home Appliances,1,150
2025-05-23,ORD10165,CUST1976,South,Air Conditioner,Home Appliances,5,399
2025-05-26,ORD10166,CUST9275,North,Board Game,Toys,8,40
2025-05-29,ORD10167,CUST3718,North,Action Figure,Toys,2,30
2025-05-11,ORD10168,CUST2393,East,Laptop,Electronics,5,999
2025-05-15,ORD10169,CUST5713,North,Laptop,Electronics,8,999
2025-05-30,ORD10170,CUST3487,North,Jacket,Clothing,6,75
2025-05-11,ORD10171,CUST9160,North,Board Game,Toys,6,40
2025-05-01,ORD10172,CUST5742,West,T-shirt,Clothing,5,25
2025-05-25,ORD10173,CUST2230,North,Action Figure,Toys,4,30
2025-05-15,ORD10174,CUST2725,South,Microwave,Home Appliances,4,150
2025-05-26,ORD10175,CUST5983,South,Board Game,Toys,4,40
2025-05-01,ORD10176,CUST7478,South,Blender,Home Appliances,3,89
2025-05-01,ORD10177,CUST3710,South,Jeans,Clothing,1,50
2025-05-23,ORD10178,CUST9359,North,Air Conditioner,Home Appliances,9,399
2025-05-07,ORD10179,CUST4826,West,Laptop,Electronics,7,999
2025-05-30,ORD10180,CUST7744,North,Blender,Home Appliances,6,89
2025-05-27,ORD10181,CUST8772,West,T-shirt,Clothing,2,25
2025-05-22,ORD10182,CUST8407,East,Board Game,Toys,2,40
2025-05-14,ORD10183,CUST2748,South,Laptop,Electronics,4,999
